customer_id,customer_name,latitude,longitude,total_pallets_unrounded,total_pallets_rounded,total_orders,address,city_borough,pallets_per_order,day_of_week
4027,Peruvian Civic Center of NY,40.755793,-73.883237,18.47,20,2,37-01 Bowne St,Flushing,9.24,Wednesday
84103,International Pentecostal,40.653809,-73.91836,9.68,10,1,9202-14 Church Avenue,Brooklyn,9.68,Wednesday
82716,Resurrection and Life Pentecostal Church,40.821759,-73.899073,8.53,9,1,870 East 163rd Street,Bronx,8.53,Wednesday
85600,Life Together Works Inc.,40.82385,-73.844681,8.16,9,2,2347 Lafayette Avenue,Bronx,4.08,Wednesday
80476,Unitarian Church of All Souls,40.775377,-73.95858,6.9,8,2,1157 Lexington Avenue,New York,3.45,Wednesday
83956,The Campaign Against Hunger,40.660966,-73.874089,6.54,7,1,975 Shepherd Ave,Brooklyn,6.54,Wednesday
85579,"MUNA Social Service, Inc.",40.675864,-73.855033,6.2,8,2,80-50 Pitkin Ave,Ozone Park,3.1,Wednesday
85292,Mana Del Cielo,40.844511,-73.907572,5.69,7,2,1700 Weeks Avenue,Bronx,2.84,Wednesday
81742,CAMBA Food Pantry,40.648574,-73.957531,5.63,7,2,21 Snyder Avenue,Brooklyn,2.82,Wednesday
82315,Spanish Soundview SDA,40.815052,-73.861258,4.54,6,2,1822 Lacombe Avenue,Bronx,2.27,Wednesday
82210,Spanish SDA Church,40.824457,-73.899622,4.01,5,2,1038 Prospect Avenue,Bronx,2.0,Wednesday
87233,Forest Hills Senior Center,40.73591,-73.850212,3.95,5,2,108-25 62nd Drive,Forest Hills,1.98,Wednesday
81324,St. Stephen Outreach Inc.,40.695579,-73.947375,3.9,4,2,874 Myrtle Avenue,Brooklyn,1.95,Wednesday
82976,Queensboro SDA Church,40.718217,-73.731704,3.86,5,2,96-50 222nd Street,Queens Village,1.93,Wednesday
