customer_id,customer_name,latitude,longitude,total_pallets_unrounded,total_pallets_rounded,total_orders,address,city_borough,pallets_per_order,day_of_week
CUST_73,Customer 038,40.717842608430665,-73.9892410907712,1.02,2,1,,,1.02,All Days
CUST_45,Customer 024,40.896883630705474,-73.85135085346376,1.02,2,1,,,1.02,All Days
CUST_91,Customer 050,40.88504380789946,-73.85462851943738,1.0,1,1,,,1.0,All Days
CUST_116,Customer 065,40.76900862942308,-73.96497922070525,0.95,1,1,,,0.95,All Days
CUST_121,Customer 067,40.86604266971237,-73.92623623009767,0.95,1,1,,,0.95,All Days
CUST_76,Customer 039,40.84904227606511,-73.92111860936336,0.95,1,1,,,0.95,All Days
CUST_92,Customer 050,40.88620945570873,-73.85500376558664,0.94,1,1,,,0.94,All Days
CUST_48,Customer 025,40.69820642303767,-73.91530125674404,0.94,1,1,,,0.94,All Days
CUST_120,Customer 066,40.66196226280353,-73.87882785304663,0.94,1,1,,,0.94,All Days
CUST_8,Customer 006,40.80740818873632,-73.96565982955099,0.94,1,1,,,0.94,All Days
CUST_111,Customer 061,40.598441081363745,-73.9420164549528,0.91,1,1,,,0.91,All Days
CUST_115,Customer 064,40.67188442120769,-73.93306907857387,0.91,1,1,,,0.91,All Days
CUST_67,Customer 035,40.594970715995146,-73.77416307485291,0.9,1,1,,,0.9,All Days
CUST_158,Customer 085,40.67615233974347,-73.87787450807856,0.89,1,1,,,0.89,All Days
CUST_147,Customer 080,40.67620628689007,-73.74285399139629,0.88,1,1,,,0.88,All Days
CUST_64,Customer 033,40.88677507240233,-73.85199192252,0.88,1,1,,,0.88,All Days
CUST_71,Customer 037,40.6314761543859,-73.98026120703442,0.87,1,1,,,0.87,All Days
CUST_110,Customer 061,40.598422117306654,-73.94163633556525,0.86,1,1,,,0.86,All Days
CUST_96,Customer 052,40.8458092350955,-73.89861028108417,0.85,1,1,,,0.85,All Days
CUST_160,Customer 086,40.85442819719322,-73.91028638858107,0.84,1,1,,,0.84,All Days
CUST_59,Customer 013,40.81547267147897,-73.93896720488969,0.82,1,1,,,0.82,All Days
CUST_94,Customer 051,40.60755108012351,-73.75328673186628,0.81,1,1,,,0.81,All Days
CUST_142,Customer 077,40.68010558867474,-73.91329026031752,0.8,1,1,,,0.8,All Days
CUST_154,Customer 084,40.66480658774192,-73.9572281363883,0.8,1,1,,,0.8,All Days
CUST_65,Customer 033,40.88725114517388,-73.85211363089901,0.8,1,1,,,0.8,All Days
CUST_15,Customer 010,40.65654070000209,-73.91897014191731,0.8,1,1,,,0.8,All Days
CUST_102,Customer 056,40.7572560717902,-73.91514119505781,0.79,1,1,,,0.79,All Days
CUST_155,Customer 085,40.6758490834141,-73.87795663986044,0.77,1,1,,,0.77,All Days
CUST_145,Customer 078,40.762235615018184,-73.95002853650537,0.77,1,1,,,0.77,All Days
CUST_143,Customer 078,40.76169824334662,-73.94957140792144,0.77,1,1,,,0.77,All Days
CUST_166,Customer 091,40.69772873982824,-73.8341823153853,0.76,1,1,,,0.76,All Days
CUST_3,Customer 002,40.705772365929086,-73.75481294795641,0.75,1,1,,,0.75,All Days
CUST_139,Customer 076,40.681777334052896,-73.87899490500013,0.75,1,1,,,0.75,All Days
CUST_12,Customer 008,40.81813101864817,-73.90411620231987,0.73,1,1,,,0.73,All Days
CUST_108,Customer 043,40.68121421259302,-73.85490141355677,0.72,1,1,,,0.72,All Days
CUST_93,Customer 051,40.60737229758411,-73.75316746816085,0.71,1,1,,,0.71,All Days
CUST_119,Customer 066,40.66065294279969,-73.87876303673895,0.71,1,1,,,0.71,All Days
CUST_159,Customer 086,40.85368960688969,-73.90929502876213,0.71,1,1,,,0.71,All Days
CUST_150,Customer 081,40.680013541807504,-73.93016456211372,0.7,1,1,,,0.7,All Days
CUST_107,Customer 059,40.67752369744024,-73.91214063765723,0.68,1,1,,,0.68,All Days
CUST_53,Customer 028,40.71519521264396,-73.74349772371512,0.68,1,1,,,0.68,All Days
CUST_51,Customer 027,40.687360434885576,-73.98066195659537,0.68,1,1,,,0.68,All Days
CUST_26,Customer 014,40.75998165199857,-73.94043191849441,0.67,1,1,,,0.67,All Days
CUST_36,Customer 017,40.68791074875695,-73.960491117742,0.66,1,1,,,0.66,All Days
CUST_47,Customer 025,40.69835136729073,-73.9158925078441,0.63,1,1,,,0.63,All Days
CUST_9,Customer 006,40.80741216995954,-73.96517642109316,0.63,1,1,,,0.63,All Days
CUST_122,Customer 067,40.8671593624274,-73.9270843335183,0.62,1,1,,,0.62,All Days
CUST_132,Customer 073,40.65052535821618,-73.96218340829046,0.62,1,1,,,0.62,All Days
CUST_22,Customer 012,40.63590392647493,-74.16434795296341,0.59,1,1,,,0.59,All Days
CUST_109,Customer 060,40.676333247614394,-73.88613509640518,0.59,1,1,,,0.59,All Days
CUST_42,Customer 022,40.70649711069442,-73.756756602347,0.59,1,1,,,0.59,All Days
CUST_37,Customer 020,40.70811449489744,-73.79898444261066,0.57,1,1,,,0.57,All Days
CUST_69,Customer 036,40.80325822563249,-73.93591692391615,0.56,1,1,,,0.56,All Days
CUST_140,Customer 076,40.681500854910794,-73.87838901250375,0.56,1,1,,,0.56,All Days
CUST_52,Customer 027,40.68635666934033,-73.97949261343375,0.56,1,1,,,0.56,All Days
CUST_34,Customer 019,40.77868973332669,-73.98315066628308,0.52,1,1,,,0.52,All Days
CUST_103,Customer 057,40.81995444568525,-73.89158623543398,0.52,1,1,,,0.52,All Days
CUST_43,Customer 023,40.76091447600587,-73.88181045003793,0.52,1,1,,,0.52,All Days
CUST_117,Customer 065,40.76837550785436,-73.96503780556607,0.52,1,1,,,0.52,All Days
CUST_28,Customer 016,40.854973107257365,-73.86437656576189,0.52,1,1,,,0.52,All Days
CUST_1,Customer 001,40.82495506535507,-73.90954168234038,0.51,1,1,,,0.51,All Days
CUST_25,Customer 014,40.76099884306126,-73.94084004193822,0.51,1,1,,,0.51,All Days
CUST_77,Customer 040,40.76395482312956,-73.91128512522792,0.49,1,1,,,0.49,All Days
CUST_130,Customer 072,40.65171110205392,-73.9191771105472,0.49,1,1,,,0.49,All Days
CUST_128,Customer 070,40.67460149453186,-73.92268989554842,0.49,1,1,,,0.49,All Days
CUST_24,Customer 013,40.81574307418728,-73.9379714247544,0.47,1,1,,,0.47,All Days
CUST_98,Customer 054,40.70449809311375,-73.95658499114683,0.47,1,1,,,0.47,All Days
CUST_16,Customer 010,40.65751918441702,-73.91847912281948,0.45,1,1,,,0.45,All Days
CUST_89,Customer 049,40.84263499628569,-73.90081843283734,0.45,1,1,,,0.45,All Days
CUST_74,Customer 038,40.71744566073601,-73.98950454588747,0.44,1,1,,,0.44,All Days
CUST_83,Customer 045,40.63550402142037,-74.13303054062014,0.44,1,1,,,0.44,All Days
CUST_70,Customer 020,40.707703961112955,-73.79937612299076,0.44,1,1,,,0.44,All Days
CUST_148,Customer 080,40.67615752202931,-73.74297663280954,0.43,1,1,,,0.43,All Days
CUST_124,Customer 068,40.63047835602088,-74.08192357873921,0.41,1,1,,,0.41,All Days
CUST_88,Customer 049,40.84161725986629,-73.90132809233144,0.4,1,1,,,0.4,All Days
CUST_68,Customer 035,40.59605114292232,-73.77457277324815,0.39,1,1,,,0.39,All Days
CUST_40,Customer 002,40.706004663477486,-73.75520327212169,0.39,1,1,,,0.39,All Days
CUST_46,Customer 024,40.898089343826506,-73.85197678243146,0.37,1,1,,,0.37,All Days
CUST_81,Customer 043,40.68152075934443,-73.85443641970784,0.37,1,1,,,0.37,All Days
CUST_125,Customer 069,40.68901703882041,-73.80356301377114,0.33,1,1,,,0.33,All Days
CUST_17,Customer 010,40.65679269077389,-73.91921527411584,0.33,1,1,,,0.33,All Days
CUST_21,Customer 012,40.636920669008184,-74.1652722110478,0.31,1,1,,,0.31,All Days
CUST_27,Customer 015,40.82239448550935,-73.91429829435131,0.31,1,1,,,0.31,All Days
CUST_18,Customer 010,40.6578042197258,-73.918069553242,0.31,1,1,,,0.31,All Days
CUST_106,Customer 059,40.67755950741335,-73.91187495774679,0.3,1,1,,,0.3,All Days
CUST_157,Customer 085,40.67548223342128,-73.87797586604796,0.29,1,1,,,0.29,All Days
CUST_129,Customer 071,40.74827382831262,-73.98413653314174,0.28,1,1,,,0.28,All Days
CUST_72,Customer 037,40.63158902373105,-73.9795938953901,0.27,1,1,,,0.27,All Days
CUST_152,Customer 082,40.87018784073316,-73.88006262636651,0.26,1,1,,,0.26,All Days
CUST_131,Customer 072,40.65167833430529,-73.91804531982244,0.26,1,1,,,0.26,All Days
CUST_62,Customer 032,40.853589534832395,-73.89464414584027,0.25,1,1,,,0.25,All Days
CUST_86,Customer 047,40.71773283828544,-73.98411846097412,0.25,1,1,,,0.25,All Days
CUST_79,Customer 041,40.759382235947626,-73.93895415268634,0.23,1,1,,,0.23,All Days
CUST_33,Customer 019,40.778836484045,-73.98329931044094,0.23,1,1,,,0.23,All Days
CUST_104,Customer 058,40.71874598664543,-73.98172887364404,0.22,1,1,,,0.22,All Days
CUST_90,Customer 015,40.82239450201089,-73.91413553184593,0.2,1,1,,,0.2,All Days
CUST_87,Customer 048,40.75405265049564,-73.81832518415463,0.19,1,1,,,0.19,All Days
CUST_14,Customer 009,40.600009486593315,-73.74405287870175,0.19,1,1,,,0.19,All Days
CUST_78,Customer 040,40.76429389653837,-73.91144245177149,0.19,1,1,,,0.19,All Days
CUST_54,Customer 028,40.71384528923708,-73.74343725193206,0.18,1,1,,,0.18,All Days
CUST_63,Customer 032,40.853396541373414,-73.89434450171387,0.17,1,1,,,0.17,All Days
CUST_75,Customer 039,40.84909985735391,-73.92113692416197,0.16,1,1,,,0.16,All Days
CUST_82,Customer 044,40.685443993544496,-73.943950969423,0.1,1,1,,,0.1,All Days
CUST_41,Customer 002,40.70691118678927,-73.75460998270592,0.08,1,1,,,0.08,All Days
CUST_105,Customer 058,40.719025789355534,-73.98182166471626,0.06,1,1,,,0.06,All Days
